index,features
5,Permissions::WAKE_LOCK
6,Permissions::WRITE_EXTERNAL_STORAGE
7,Permissions::ACCESS_NETWORK_STATE
8,Permissions::WRITE_SETTINGS
9,Permissions::INTERNET
10,Intents::AUDIO_BECOMING_NOISY
11,APICalls::Landroid/content/Intent.toUri()
12,APICalls::Landroid/view/View.setTag()
13,APICalls::Landroid/util/Xml.newSerializer()
14,APICalls::Landroid/content/pm/PackageManager.queryIntentServices()
15,APICalls::Landroid/view/ViewStub.setLayoutResource()
16,APICalls::Landroid/content/Context.createPackageContext()
17,APICalls::Landroid/os/Handler.removeMessages()
18,APICalls::Landroid/widget/Scroller.getCurrY()
19,APICalls::Landroid/view/View.invalidate()
20,APICalls::Landroid/os/IBinder.linkToDeath()
21,APICalls::Landroid/view/View.getScrollX()
22,APICalls::Landroid/net/Uri.writeToParcel()
23,APICalls::Landroid/view/View.getScrollY()
24,APICalls::Landroid/view/LayoutInflater.from()
25,APICalls::Landroid/view/View$AccessibilityDelegate.sendAccessibilityEventUnchecked()
26,APICalls::Landroid/os/Parcel.readFloat()
27,APICalls::Landroid/os/SystemClock.uptimeMillis()
28,APICalls::Landroid/content/Context.getApplicationInfo()
29,APICalls::Landroid/view/MotionEvent.obtain()
30,APICalls::Landroid/view/View.requestFocus()
31,APICalls::Landroid/view/accessibility/AccessibilityNodeInfo.setPackageName()
32,APICalls::Landroid/os/Parcel.writeDouble()
33,APICalls::Landroid/view/VelocityTracker.recycle()
34,APICalls::Landroid/widget/LinearLayout.requestFocus()
35,APICalls::Landroid/view/ViewTreeObserver.removeGlobalOnLayoutListener()
36,APICalls::Landroid/view/ViewGroup.isInEditMode()
37,APICalls::Landroid/os/Bundle.getBoolean()
38,APICalls::Landroid/view/View.isShown()
39,APICalls::Landroid/widget/TextView.setTypeface()
40,APICalls::Landroid/view/accessibility/AccessibilityNodeInfo.setLongClickable()
41,APICalls::Landroid/widget/ImageView.setId()
42,APICalls::Landroid/os/Binder.getCallingPid()
43,APICalls::Landroid/widget/RelativeLayout.onAttachedToWindow()
44,APICalls::Landroid/util/Base64OutputStream.write()
45,APICalls::Landroid/util/Base64OutputStream.close()
46,APICalls::Landroid/view/MenuItem.getGroupId()
47,APICalls::Landroid/content/ContentValues.put()
48,APICalls::Landroid/widget/TextView.setSingleLine()
49,APICalls::Landroid/view/ViewGroup.setTranslationY()
