,apicalls
0,apicalls::landroid/bluetooth/bluetoothadapter.canceldiscovery
1,apicalls::landroid/bluetooth/bluetoothadapter.checkbluetoothaddress
2,apicalls::landroid/bluetooth/bluetoothadapter.closeprofileproxy
3,apicalls::landroid/bluetooth/bluetoothadapter.disable
4,apicalls::landroid/bluetooth/bluetoothadapter.enable
5,apicalls::landroid/bluetooth/bluetoothadapter.getaddress
6,apicalls::landroid/bluetooth/bluetoothadapter.getbluetoothleadvertiser
7,apicalls::landroid/bluetooth/bluetoothadapter.getbluetoothlescanner
8,apicalls::landroid/bluetooth/bluetoothadapter.getbondeddevices
9,apicalls::landroid/bluetooth/bluetoothadapter.getdefaultadapter
10,apicalls::landroid/bluetooth/bluetoothadapter.getname
11,apicalls::landroid/bluetooth/bluetoothadapter.getprofileconnectionstate
12,apicalls::landroid/bluetooth/bluetoothadapter.getprofileproxy
13,apicalls::landroid/bluetooth/bluetoothadapter.getremotedevice
14,apicalls::landroid/bluetooth/bluetoothadapter.getscanmode
15,apicalls::landroid/bluetooth/bluetoothadapter.getstate
16,apicalls::landroid/bluetooth/bluetoothadapter.isdiscovering
17,apicalls::landroid/bluetooth/bluetoothadapter.isenabled
18,apicalls::landroid/bluetooth/bluetoothadapter.ismultipleadvertisementsupported
19,apicalls::landroid/bluetooth/bluetoothadapter.isoffloadedfilteringsupported
20,apicalls::landroid/bluetooth/bluetoothadapter.isoffloadedscanbatchingsupported
21,apicalls::landroid/bluetooth/bluetoothadapter.listenusinginsecurerfcommwithservicerecord
22,apicalls::landroid/bluetooth/bluetoothadapter.listenusingrfcommwithservicerecord
23,apicalls::landroid/bluetooth/bluetoothadapter.setname
24,apicalls::landroid/bluetooth/bluetoothadapter.startdiscovery
25,apicalls::landroid/bluetooth/bluetoothadapter.startlediscovery
26,apicalls::landroid/bluetooth/bluetoothadapter.startlescan
27,apicalls::landroid/bluetooth/bluetoothadapter.stoplescan
28,apicalls::landroid/bluetooth/bluetoothclass.getdeviceclass
29,apicalls::landroid/bluetooth/bluetoothclass.getmajordeviceclass
30,apicalls::landroid/bluetooth/bluetoothclass.hasservice
31,apicalls::landroid/bluetooth/bluetoothdevice.connectgatt
32,apicalls::landroid/bluetooth/bluetoothdevice.createbond
