,names,stats,p_values
0,permissions::mount::unmount::filesystems,22321.011248526764,0.0
1,permissions::change::wifi::state,17168.82977629007,0.0
2,permissions::get::tasks,16600.018339604,0.0
3,intents::package::removed,16365.16044470525,0.0
4,permissions::change::network::state,15538.667461877496,0.0
5,permissions::read::logs,15130.358069071995,0.0
6,permissions::request::install::packages,14213.584678741432,0.0
7,intents::user::present,13334.964880554726,0.0
8,apicalls::landroid/view/window.settype,12875.966741500377,0.0
9,permissions::system::alert::window,12587.043101698202,0.0
10,intents::report,12374.328812698408,0.0
11,intents::connectivity::change,12302.827107370487,0.0
12,permissions::access::location::extra::commands,11775.520292933306,0.0
13,intents::message::received,10782.48981476111,0.0
14,permissions::record::audio,9829.126919504472,0.0
15,permissions::read::phone::state,8579.893437055045,0.0
16,permissions::modify::audio::settings,7892.684890784462,0.0
17,permissions::write::settings,7494.456690316156,0.0
18,permissions::camera,7115.492736507977,0.0
19,apicalls::landroid/view/keyevent.getaction,7111.362618023917,0.0
20,apicalls::landroid/view/view.setvisibility,7057.626178963371,0.0
21,apicalls::landroid/util/sparsearray.get,7004.60887425722,0.0
22,apicalls::landroid/util/sparsearray.size,6998.038316692909,0.0
23,apicalls::landroid/widget/button.setonclicklistener,6973.779859086234,0.0
24,apicalls::landroid/view/keyevent.getkeycode,6952.799163092745,0.0
25,apicalls::landroid/content/res/resources.getresourcename,6943.89303089951,0.0
26,apicalls::landroid/view/layoutinflater.inflate,6939.043731596209,0.0
27,apicalls::landroid/view/view.getid,6923.560332961021,0.0
28,apicalls::landroid/util/sparsearray.put,6920.709036245763,0.0
29,apicalls::landroid/content/res/typedarray.getresourceid,6919.236442550078,0.0
30,apicalls::landroid/view/window.getattributes,6904.787008398043,0.0
31,apicalls::landroid/view/view.getlayoutparams,6904.176048832318,0.0
32,apicalls::landroid/widget/imageview.setimageresource,6898.59888236821,0.0
33,intents::package::added,6894.2941335630985,0.0
34,apicalls::landroid/content/context.obtainstyledattributes,6889.607225066685,0.0
35,apicalls::landroid/view/keyevent.getrepeatcount,6886.398650695867,0.0
36,apicalls::landroid/view/motionevent.getpointerid,6878.49110888838,0.0
37,apicalls::landroid/view/window.addflags,6866.012132121448,0.0
38,apicalls::landroid/content/contentresolver.query,6862.580794945216,0.0
39,apicalls::landroid/view/viewconfiguration.get,6851.145491935558,0.0
40,apicalls::landroid/view/view.setlayoutparams,6845.456773521855,0.0
41,apicalls::landroid/view/viewconfiguration.getscaledtouchslop,6843.001264010761,0.0
